obs,k,m,n,reference_pool,physical_rqmc,quotient_self_normalized,floor,paired_ratio
0,2,500,4194304,0,0.030192560791876162,0.030909318808480416,0.034053967873379595,0.9768109410289688
0,2,500,4194304,1,0.03109821544345465,0.031333287054317115,0.034053967873379595,0.9924977034661265
1,2,100,1024,0,0.0682455837483518,0.05872663257662305,0.06301947578042746,1.1620891706894478
1,2,100,1024,1,0.06785357822272925,0.05788418586813218,0.06301947578042746,1.1722299831133267
1,2,100,4096,0,0.06440779120512305,0.06183952071060497,0.06301947578042746,1.0415312160412271
1,2,100,4096,1,0.06368672384293748,0.06192222658414265,0.06301947578042746,1.0284953780916963
1,2,100,16384,0,0.06196894427323714,0.0628525745262355,0.06301947578042746,0.985941224211436
1,2,100,16384,1,0.061878750373516256,0.06327642518014889,0.06301947578042746,0.9779116028970752
1,2,100,65536,0,0.06598794325422497,0.062175948301847056,0.06301947578042746,1.0613097999546661
1,2,100,65536,1,0.06567219768539069,0.06187215097173207,0.06301947578042746,1.0614177243554175
1,2,100,262144,0,0.06420141266370191,0.06329236511202556,0.06301947578042746,1.014362673129174
1,2,100,262144,1,0.0645351766466163,0.06284929487528973,0.06301947578042746,1.026824195477003
1,2,100,1048576,0,0.06540646851677448,0.06359019568771204,0.06301947578042746,1.028562151907537
1,2,100,1048576,1,0.06527112506292759,0.06326376442383705,0.06301947578042746,1.0317300220335006
1,2,100,4194304,0,0.06355389676466584,0.06730176457643486,0.06301947578042746,0.9443124881590207
1,2,100,4194304,1,0.06336963453246282,0.0659515876664601,0.06301947578042746,0.9608507812267522
1,2,500,1024,0,0.035643760753516114,0.030260958901964695,0.02920977680282668,1.1778794211045949
1,2,500,1024,1,0.03683234933111819,0.02997975208815338,0.02920977680282668,1.2285741797602336
1,2,500,4096,0,0.030912296561058622,0.030024433468527737,0.02920977680282668,1.0295713520610326
1,2,500,4096,1,0.03039984687650575,0.02933992967651962,0.02920977680282668,1.0361254171932923
1,2,500,16384,0,0.030309682039450843,0.03153030006747634,0.02920977680282668,0.9612874591927981
1,2,500,16384,1,0.030289828866440792,0.031467388094254256,0.02920977680282668,0.9625784248668392
1,2,500,65536,0,0.031842277617286904,0.03200803098782942,0.02920977680282668,0.9948215068085399
1,2,500,65536,1,0.031265433896333,0.03230447705888791,0.02920977680282668,0.9678359392519857
1,2,500,262144,0,0.030236590890679517,0.030906849568956667,0.02920977680282668,0.9783135878413707
1,2,500,262144,1,0.03021529296860099,0.03238368880813593,0.02920977680282668,0.9330404929351297
1,2,500,1048576,0,0.030551061965338883,0.030062459274681565,0.02920977680282668,1.01625291817256
1,2,500,1048576,1,0.031757859076187014,0.030661945708997176,0.02920977680282668,1.0357418076984026
1,2,500,4194304,0,0.0314352691010572,0.030044112698205738,0.02920977680282668,1.046303793918818
1,2,500,4194304,1,0.03119409503014759,0.030258907890886286,0.02920977680282668,1.0309061762120957
2,2,100,1024,0,0.07737473740773278,0.06964040676295818,0.06868020539199933,1.111060963085708
2,2,100,1024,1,0.07676781639028343,0.06915726922041879,0.06868020539199933,1.1100469589915158
2,2,100,4096,0,0.07016583820162339,0.06794855141172418,0.06868020539199933,1.032631847829454
2,2,100,4096,1,0.06911518373666331,0.06702394600675099,0.06868020539199933,1.0312013519720502
2,2,100,16384,0,0.0686572127596475,0.07089755012919409,0.06868020539199933,0.9684003556474928
2,2,100,16384,1,0.06812873416794463,0.06962665593568043,0.06868020539199933,0.9784863749722584
2,2,100,65536,0,0.07027175017306583,0.06644517155552432,0.06868020539199933,1.057590017874269
2,2,100,65536,1,0.07206010137479749,0.06581628319945373,0.06868020539199933,1.09486737736955
2,2,100,262144,0,0.06473810619646685,0.06845100393916465,0.06868020539199933,0.9457583157436579
2,2,100,262144,1,0.06598145026694985,0.06790343834929989,0.06868020539199933,0.9716952759820024
2,2,100,1048576,0,0.07169564701188355,0.06531178215222005,0.06868020539199933,1.0977444597176178
2,2,100,1048576,1,0.07035346360979604,0.0658770108191076,0.06868020539199933,1.0679516683442176
2,2,100,4194304,0,0.06546260254839437,0.06618446827163015,0.06868020539199933,0.9890931249870718
2,2,100,4194304,1,0.066738766096998,0.06635283628097935,0.06868020539199933,1.005816327344085
2,2,500,1024,0,0.03492252756562085,0.0332583185972062,0.032195800141151976,1.050038878650782
2,2,500,1024,1,0.03424409812744704,0.032893983040355484,0.032195800141151976,1.041044439204434
2,2,500,4096,0,0.03337173250438646,0.03398614399527476,0.032195800141151976,0.9819217063585169
2,2,500,4096,1,0.03229078447390349,0.03300977006211117,0.032195800141151976,0.9782190064682414
2,2,500,16384,0,0.03634789870455864,0.0335975090405689,0.032195800141151976,1.0818629042012802
2,2,500,16384,1,0.03537759944191202,0.03375022838791049,0.032195800141151976,1.0482180753059573
2,2,500,65536,0,0.03218161162333563,0.03375524350600931,0.032195800141151976,0.9533811129997173
2,2,500,65536,1,0.031862451504077766,0.03324594136035121,0.032195800141151976,0.9583862029569907
2,2,500,262144,0,0.033383924993500125,0.033561866490964355,0.032195800141151976,0.9946981048413343
2,2,500,262144,1,0.03284400370782238,0.03254247690767452,0.032195800141151976,1.009265637677283
2,2,500,1048576,0,0.03258030990371483,0.03424797208159816,0.032195800141151976,0.9513062503698025
2,2,500,1048576,1,0.03272287964941935,0.032407728165096,0.032195800141151976,1.0097245781227815
2,2,500,4194304,0,0.03347219688352198,0.03221869977573644,0.032195800141151976,1.0389058874663073
2,2,500,4194304,1,0.032405006236303616,0.031514128986677006,0.032195800141151976,1.0282691376304018
3,2,100,1024,0,0.06447365887919443,0.0711261249000951,0.06618310105446724,0.9064694438190632
3,2,100,1024,1,0.06518604091117158,0.07010107500373651,0.06618310105446724,0.9298864661875307
3,2,100,4096,0,0.06799452833635734,0.06792380686750793,0.06618310105446724,1.0010411882388655
3,2,100,4096,1,0.06757974005844444,0.06766458894241495,0.06618310105446724,0.9987460371030596
3,2,100,16384,0,0.06752633873838931,0.06769139708868653,0.06618310105446724,0.9975616052054449
3,2,100,16384,1,0.06729013115856797,0.06626458959423817,0.06618310105446724,1.0154764644376364
