k,m,reference_pool,n,observations,physical_median,quotient_median,paired_ratio_median,paired_ratio_q25,paired_ratio_q75,paired_ratio_ci_low,paired_ratio_ci_high,quotient_wins,physical_wins,floor_median
3,100,1,4096,48,0.0815007007702564,0.06410539228479807,1.0811841434004954,1.0139179826859257,1.7998999949815826,1.025895933970438,1.6376350184007455,41,7,0.06348176098832242
3,100,1,16384,48,0.07645807116553187,0.06231377278327395,1.0495348058677876,1.0084575890353824,1.203871621067389,1.0237020071112823,1.156254313509265,39,9,0.06348176098832242
3,100,1,65536,48,0.07403413833497713,0.06176954251301704,1.0150110318623753,0.9909164607556796,1.0480004564180319,1.0030158082920602,1.0357798515112082,32,16,0.06348176098832242
3,100,1,262144,48,0.06317174122262126,0.06065175103419092,0.9965170534517598,0.975719918924137,1.0358646393226605,0.9862783009202976,1.008067035061544,22,26,0.06348176098832242
3,100,1,1048576,48,0.06141532557650159,0.06270036604624948,0.9996371069311893,0.9757837182304951,1.0287187226428554,0.9889185445504545,1.0131546790023864,23,25,0.06348176098832242
3,100,1,4194304,48,0.062427584567728144,0.06166779680522329,1.001669620668878,0.9814814223276423,1.0297778409321996,0.9911620331953079,1.0161382535511705,24,24,0.06348176098832242
3,500,0,1024,48,0.06484751260373742,0.041663848372364684,1.8647107402629461,1.201375913135011,3.9626577040422397,1.312224239359166,3.41206080835746,48,0,0.032545324187198035
3,500,0,4096,48,0.04809807172811901,0.03523994960353139,1.2769257652929378,1.0505253809801214,2.7520537357343846,1.0573322863050676,2.4061986703110274,47,1,0.032545324187198035
3,500,0,16384,48,0.043848164145151775,0.03373113368393657,1.05063452205867,1.0090697020193384,1.8003712575744557,1.0230838336711137,1.502091330035089,43,5,0.032545324187198035
3,500,0,65536,48,0.041115400786387424,0.03299592474110822,1.0217169091705751,1.0059086573563634,1.1404115755525257,1.0092197634058548,1.0709468923713945,38,10,0.032545324187198035
3,500,0,262144,48,0.03819634537935878,0.03244026739605484,1.0044822540450555,0.9812499024206104,1.0389611325377477,0.9893337510862243,1.017331807501332,25,23,0.032545324187198035
3,500,0,1048576,48,0.03263081523155173,0.03295689053360484,1.0016880050352353,0.9808106123723639,1.0232448095096847,0.9915442592476916,1.0100328498397053,25,23,0.032545324187198035
3,500,0,4194304,48,0.03300999000802014,0.03253234677592181,1.0033368898471147,0.9804825812237401,1.024282846010679,0.9938387241644001,1.018534494090399,27,21,0.032545324187198035
3,500,1,1024,48,0.06500502584918091,0.0415310958671111,1.8882194726754062,1.2069593872235318,3.891429902073946,1.2986455081601433,3.374205500167853,48,0,0.032545324187198035
3,500,1,4096,48,0.04769287815174709,0.035387456434402706,1.2669327910664827,1.0413279685946026,2.814512743194605,1.060994838382329,2.3803421638670312,47,1,0.032545324187198035
3,500,1,16384,48,0.04387206516880543,0.03334630651987422,1.0757425384088117,1.019950416747239,1.7936541487602453,1.0319105323582312,1.4882952457393175,44,4,0.032545324187198035
3,500,1,65536,48,0.04138009536943088,0.032957394518597194,1.0242426586518731,1.0019325671039025,1.1134094250166455,1.0138409802270971,1.0874329494287818,39,9,0.032545324187198035
3,500,1,262144,48,0.03806784256811564,0.03266512081334308,1.0054294031836406,0.9836100444417161,1.0412545352538056,0.9911144688386938,1.0179329908021704,27,21,0.032545324187198035
3,500,1,1048576,48,0.032323757272275794,0.03303357321238756,1.0040815458855357,0.9822995436677235,1.0285072867186664,0.9930158476464388,1.0185822135094713,26,22,0.032545324187198035
3,500,1,4194304,48,0.03228487194643046,0.03205810070122206,1.0079590034328554,0.9882980408441315,1.0349292897724327,0.9968807817892692,1.013783661280844,28,20,0.032545324187198035
4,100,0,1024,48,0.10418634055058938,0.08083063174855867,1.3847850369418422,1.037612630026967,2.3480121997230743,1.07824964804032,1.688925292630587,48,0,0.07426516133879776
4,100,0,4096,48,0.0894209826219827,0.07591705140928563,1.1087689982165583,1.0207711093580407,2.0083565129987617,1.0365633246494887,1.2785455029928567,44,4,0.07426516133879776
4,100,0,16384,48,0.08798667943615002,0.07429082218845295,1.0345139244203703,0.9988481639633595,1.5189471955564011,1.01151497269881,1.0988066740218827,36,12,0.07426516133879776
4,100,0,65536,48,0.08430709902187809,0.07473954368204636,1.016736238100939,0.9949337118905802,1.1961505128030463,1.0012690605484122,1.0244882044760717,33,15,0.07426516133879776
4,100,0,262144,48,0.0806933065707097,0.07452327205115716,1.0153130336560947,0.9995368160183808,1.0754247160934376,1.003225421458657,1.0266098492370237,35,13,0.07426516133879776
4,100,0,1048576,48,0.07474951915035491,0.07350373255187378,1.0114801681204562,0.9973138650380091,1.0259611808103353,1.0066037061833852,1.0173945825985613,34,14,0.07426516133879776
4,100,0,4194304,48,0.07400035388250836,0.0740665141780589,1.0036734396923643,0.9882102187128634,1.0302271696847942,0.9922256559440596,1.011840690711717,27,21,0.07426516133879776
4,100,1,1024,48,0.10391887602780481,0.07983421729422668,1.3847398758898213,1.0314873494128278,2.334968692811249,1.0759829750275536,1.675533143063,47,1,0.07426516133879776
4,100,1,4096,48,0.08928530295118689,0.0751316068002104,1.1083293949444024,1.020487319987478,2.034381525904823,1.0451050385978529,1.2839453345544738,44,4,0.07426516133879776
4,100,1,16384,48,0.08827749784616755,0.07490596189041335,1.0328695943327721,0.9978065871548388,1.5112896698539946,1.0085113198098485,1.1017088048145438,34,14,0.07426516133879776
4,100,1,65536,48,0.08428027114411817,0.07486822053232084,1.0158532909539266,0.9961625145221774,1.1903146732195693,1.005451372324608,1.0252787699780237,35,13,0.07426516133879776
4,100,1,262144,48,0.08132554695238359,0.07487314922996283,1.0132822577394882,0.9996004970999938,1.0728441903466395,1.0085464021133312,1.0272160561258739,36,12,0.07426516133879776
4,100,1,1048576,48,0.07358321344596334,0.07332849374280456,1.0107807811224998,0.9937551798145714,1.0299410013046453,1.0049950586631635,1.0177651926491629,32,16,0.07426516133879776
4,100,1,4194304,48,0.07372781540718862,0.07460392316430135,1.001118514542136,0.9881650075732611,1.0343789429440018,0.9957352619023176,1.0156856225411877,24,24,0.07426516133879776
4,500,0,1024,48,0.08609524586061018,0.051354262796822786,1.8764851220918186,1.196738670978318,3.371894706776507,1.2684101705799744,2.3307086222010875,48,0,0.0430117742802715
4,500,0,4096,48,0.060335486823041004,0.04771191205202943,1.4191977488888834,1.056429400444203,2.971936478784393,1.0880950597134007,1.7602034245744613,48,0,0.0430117742802715
4,500,0,16384,48,0.05525036981445738,0.044012650354588276,1.1270457259755329,1.015456331608008,2.29531125443253,1.0240505321025646,1.2976621850729564,42,6,0.0430117742802715
4,500,0,65536,48,0.054059361640643316,0.04416693079744376,1.0286556174340702,1.0033470926743704,1.620391041889687,1.008303211947162,1.063699114952068,38,10,0.0430117742802715
