obs,k,m,same_pool_median,independent_pool_median,ratio
71,2,500,0.02256075706761331,0.020079831856582315,0.8900336011067446
72,2,100,0.03645249365959316,0.03366462757913395,0.9235205660689957
72,2,500,0.017569551124237477,0.017489017778448773,0.9954163117077245
73,2,100,0.036006864142511044,0.03997433745246381,1.1101865825985278
73,2,500,0.01695427652383223,0.02099698815383016,1.2384478998154353
74,2,100,0.03927005354752765,0.04046393667329104,1.0304018716021985
74,2,500,0.018515490921400472,0.02109877467770129,1.139520133020887
75,2,100,0.036085763362795106,0.04158882835255936,1.1524996141674526
75,2,500,0.01730845849029719,0.018460813639685512,1.0665775724646023
76,2,100,0.05111622764039786,0.042313512904383246,0.8277902117906348
76,2,500,0.019123828746564688,0.022845153797790424,1.194591004789991
77,2,100,0.03694038890665396,0.03985225036954507,1.0788259557918896
77,2,500,0.016637641779612744,0.017915288307797157,1.076792525353563
78,2,100,0.02835892005572095,0.04579388800160959,1.6147966111414536
78,2,500,0.015201112692058085,0.016077704785671092,1.0576663111030673
79,2,100,0.041840476519241936,0.040106425172276805,0.958555650144958
79,2,500,0.017141601659730075,0.018759224007185535,1.0943682148008176
80,2,100,0.031242548532597725,0.0377395761312917,1.2079544692685722
80,2,500,0.018042463777493675,0.015182428739871825,0.8414831215463221
81,2,100,0.032133286316134026,0.04085289794867859,1.271357605529643
81,2,500,0.015949155872594566,0.0234199828681536,1.46841519734572
82,2,100,0.030965854260604823,0.03478599456511437,1.123366217264982
82,2,500,0.016678199707809826,0.01958885932303966,1.1745188129547863
83,2,100,0.05022270309720189,0.03945834155371413,0.7856674197194399
83,2,500,0.017630991267040368,0.017746993207186458,1.0065794338156668
84,2,100,0.034040979840047655,0.03818564756121486,1.1217552414954635
84,2,500,0.01940938669927418,0.01610012573366986,0.829502033378104
85,2,100,0.04054125840738416,0.033188987900875516,0.8186472054560224
85,2,500,0.01757147703245282,0.020008828178420666,1.1387106582711455
86,2,100,0.03695813892204314,0.039278307762090126,1.062778292081779
86,2,500,0.013877736609801654,0.018735464011505255,1.3500374404189697
87,2,100,0.03920286803562194,0.03390129903415218,0.8647657871191349
87,2,500,0.01979218122307211,0.020046107207424946,1.012829610920136
88,2,100,0.03845425342712552,0.03351785535858944,0.871629335415625
88,2,500,0.015449544520862404,0.01847193977311254,1.1956300555119164
89,2,100,0.03343671949608252,0.03855300377123058,1.153013942523503
89,2,500,0.018588794300425808,0.015995554091315707,0.8604944372830734
90,2,100,0.019658246438577776,0.02131300101000816,1.084176102716011
90,2,500,0.006559682944323868,0.009444308995362374,1.439750834837923
91,2,100,0.03818039183812215,0.03670531536182388,0.9613656014178082
91,2,500,0.01857239699503406,0.017679780308715996,0.9519385307907895
92,2,100,0.0367216819195077,0.038192799410782755,1.0400612775444131
92,2,500,0.015305605360865598,0.01515987679930404,0.990478745653918
93,2,100,0.04138127410644665,0.034441143481154,0.8322881357533776
93,2,500,0.01554279803698883,0.020557575561013054,1.3226431632251818
94,2,100,0.033017679782025515,0.03673052079733461,1.1124500885531734
94,2,500,0.017685034096147863,0.016519348244089634,0.9340863101693347
95,2,100,0.05024704199060798,0.036461607219465064,0.7256468395946643
95,2,500,0.01886076853368432,0.020196304435748623,1.0708102588544635
96,2,100,0.06168029367569835,0.06321780137997121,1.024927049024065
96,2,500,0.02981846391204744,0.029717623008415114,0.9966181724206261
97,2,100,0.059942431714665165,0.058972442636918275,0.9838179891939622
97,2,500,0.030921753651276244,0.02782870207987726,0.8999716637587493
98,2,100,0.07064216985581447,0.06679789579585194,0.9455810308798702
98,2,500,0.033888654958643016,0.03280128827225419,0.967913548421564
99,2,100,0.06963260859660803,0.06666067671934142,0.9573198256224545
99,2,500,0.03181243479810654,0.03262915373714642,1.0256729465764907
100,2,100,0.0634127573860809,0.06426272502178328,1.0134037324781109
100,2,500,0.03066566895386204,0.030677662392891943,1.0003911031273425
101,2,100,0.06841828194707633,0.06707728053005413,0.9803999548240702
101,2,500,0.03409044860042631,0.032491231582779445,0.9530890004883402
102,2,100,0.06346049125753345,0.06058703159214928,0.9547204944612991
102,2,500,0.031895627360045906,0.028825297106895603,0.9037382077959578
103,2,100,0.06727092405054719,0.07096584718963131,1.0549260054211202
103,2,500,0.031999618408363295,0.032032753383368265,1.0010354803167374
104,2,100,0.06849806172652174,0.06624778630174699,0.9671483343023782
104,2,500,0.0321216933229007,0.03323657680554318,1.0347081167681667
105,2,100,0.06287274607401343,0.07159079760480673,1.1386618539061497
105,2,500,0.03161336299339308,0.03253292538179087,1.0290877749573801
106,2,100,0.06267751878183336,0.07234623138476165,1.1542612533304477
106,2,500,0.032011309659108506,0.0336162619391456,1.050137038975549
107,2,100,0.07219462800677864,0.0730334937130101,1.0116195031319046
107,2,500,0.032581062132585784,0.03351814237833024,1.028761500835396
108,2,100,0.06804105158001186,0.06981560000926257,1.026080555606404
108,2,500,0.034295418921019866,0.03324561855923386,0.9693894871439351
109,2,100,0.06700335040204228,0.06415525946151465,0.9574933055819129
109,2,500,0.03310765981329609,0.03164840395422649,0.9559239201049311
110,2,100,0.06534755983613431,0.06660099005131051,1.0191809796466662
110,2,500,0.03218307135300712,0.03274042859980836,1.0173183361117943
111,2,100,0.06744714627927169,0.066255864493642,0.9823375509365946
111,2,500,0.031200507440324876,0.03237335611684247,1.037590692355271
112,2,100,0.05862264736481011,0.059512796647101664,1.0151843924200852
112,2,500,0.02756089698057622,0.02869772938638926,1.0412480191270346
113,2,100,0.06299959620721637,0.06746904431078582,1.0709440754011925
113,2,500,0.03229634822672235,0.031006729317270207,0.9600692034777758
114,2,100,0.06071420777384193,0.06268300104653465,1.032427224942577
114,2,500,0.026449900241289293,0.02721326388744638,1.0288607381953543
115,2,100,0.06470683833407237,0.06351618955675509,0.9815993362066289
115,2,500,0.03029045645948497,0.03091611117050052,1.0206551760569338
116,2,100,0.06515191672313958,0.06883108912501483,1.0564706701954716
116,2,500,0.02999809373188763,0.03397991612171755,1.1327358473314353
117,2,100,0.061756556589901465,0.0650122480461374,1.0527181506873118
117,2,500,0.032102127504162484,0.03010268486868589,0.9377161954385317
118,2,100,0.05540327506493778,0.054210083630681055,0.9784635216445563
118,2,500,0.028401364855933937,0.028115224933624266,0.9899251348038689
119,2,100,0.05411662132423371,0.054060291215218596,0.998959097821765
119,2,500,0.02540749361710623,0.025460513498354702,1.0020867812483785
120,2,100,0.06306709264228119,0.06946942174183209,1.1015161605096517
120,2,500,0.034177488289494046,0.030373685225378727,0.8887044293045787
121,2,100,0.06868658029474319,0.07051303682662549,1.0265911699788335
121,2,500,0.032747193985152995,0.03261005576634779,0.995812214662808
122,2,100,0.06279718624195085,0.07433906834628434,1.183796166596762
122,2,500,0.02727803478389978,0.030190106469299656,1.1067551863053806
123,2,100,0.05718519881162792,0.05817426439449192,1.0172958318484133
123,2,500,0.026762343111168603,0.026792923286650346,1.0011426568800317
124,2,100,0.05015634150654079,0.05431426076926292,1.0828991736205462
124,2,500,0.026385986700002112,0.026380775431450457,0.999802498628878
125,2,100,0.06301522280089558,0.06143089742111043,0.9748580531915118
125,2,500,0.030381228453759086,0.03017534581068902,0.993223360161903
126,2,100,0.05456382879884915,0.0538990668738261,0.9878168020892795
126,2,500,0.025301776908151823,0.026757836413942294,1.057547717343178
127,2,100,0.0588144439920783,0.059640124910883587,1.0140387439336584
127,2,500,0.028216013804078108,0.025963848093338307,0.9201812939851096
128,2,100,0.06590881719561292,0.06372546172617002,0.9668730897876251
128,2,500,0.03334349332628772,0.030768471822794567,0.922772893700882
129,2,100,0.05536042779050769,0.05682373033436016,1.0264322838940088
129,2,500,0.026309792197868213,0.026142244807910168,0.9936317478793458
130,2,100,0.04933329129535703,0.05453234940199182,1.1053864027743086
130,2,500,0.023531382536981237,0.024912007821351282,1.0586716603752582
131,2,100,0.06325962018882855,0.06053821596028285,0.956980389379159
131,2,500,0.03163442311193794,0.030601092223729934,0.9673352384346767
132,2,100,0.06226066140327603,0.05392776728831233,0.8661611693941105
132,2,500,0.02954058786807582,0.02759858580837027,0.934259870914612
133,2,100,0.051271448738127945,0.050512928129080696,0.9852057894263639
133,2,500,0.022665950611419995,0.02559965814789758,1.1294323625235232
134,2,100,0.048888097170740386,0.05787535735545682,1.1838332989997271
134,2,500,0.02211727587217465,0.024689841705281275,1.1163147689604542
135,2,100,0.05973877725573257,0.05422343869293108,0.9076757373323667
135,2,500,0.02900740157077089,0.027976209966558974,0.9644507419357757
136,2,100,0.05167912854412571,0.049717503373697416,0.9620422165448596
136,2,500,0.027943755385931572,0.026004280722700078,0.9305936286499297
137,2,100,0.06143768590278924,0.05926101885205136,0.9645711419830827
137,2,500,0.02894829570781441,0.028318122092075626,0.9782310633379128
138,2,100,0.04477218204168602,0.04145858780369162,0.925989887316432
138,2,500,0.022564472622983132,0.021016224532946954,0.9313855849456368
139,2,100,0.0611066806952469,0.061867925739660865,1.0124576402408514
139,2,500,0.027748199642822154,0.026115187664795654,0.941148903386641
140,2,100,0.048877479834482096,0.05709996601520108,1.1682264758445704
140,2,500,0.025445453225914384,0.02759713235376402,1.084560455997628
141,2,100,0.05969411534145474,0.06141687430990858,1.028859778867641
141,2,500,0.027000934884417786,0.02515263988906517,0.9315470000107564
142,2,100,0.05700527090132235,0.059037716899905376,1.0356536503808789
142,2,500,0.028886577270086852,0.030306255745235815,1.0491466490430867
143,2,100,0.04086348345838489,0.04355060171047226,1.065758423528036
143,2,500,0.020989197135157893,0.0231016128918156,1.1006429994942166
144,2,100,0.037942443776223814,0.04111622440684587,1.0836472381520894
144,2,500,0.020673006239626555,0.019396170779690164,0.9382365851808762
145,2,100,0.05344828088674695,0.046649260047357526,0.8727925252863407
145,2,500,0.025965060715097923,0.026763279488962156,1.0307420337900497
146,2,100,0.06451776776574553,0.06148454921348021,0.9529863066050506
146,2,500,0.028939651495125153,0.030050631523691113,1.0383895441433737
147,2,100,0.04102151433937251,0.038190086424537015,0.9309770016920637
147,2,500,0.015276087545882916,0.017623571777530014,1.153670514429578
148,2,100,0.05390580237926914,0.04958978666756303,0.9199341161580419
148,2,500,0.02236415865616875,0.022907860671263196,1.024311310944151
149,2,100,0.03191292432025075,0.039552358925156295,1.2393837220382165
149,2,500,0.01493489602189511,0.018902938355319213,1.265689317662929
150,2,100,0.03306979811731726,0.029287228677514942,0.8856186110848514
150,2,500,0.016713069870881732,0.014864128814172001,0.889371547477879
151,2,100,0.04200265918504445,0.04945140340551735,1.177339824787215
151,2,500,0.0197322341894731,0.019238400931935754,0.9749732720179856
152,2,100,0.03759336850885303,0.041775202043913315,1.1112385960857827
152,2,500,0.018708245115913454,0.014761170617677271,0.7890195219390859
153,2,100,0.03316113463547081,0.036228022044897085,1.092484393044434
153,2,500,0.016618056035973133,0.01574516516728327,0.9474733466537653
154,2,100,0.03639326988710091,0.031829252198338515,0.874591711519166
154,2,500,0.015197635497990997,0.013738188198115679,0.9039687917197221
155,2,100,0.05685098334383221,0.06620375678241253,1.164513837553436
