obs,k,m,method,n,reached,repeat,ms
43,2,100,physical_rqmc,1024,True,1,0.76125
43,2,100,physical_rqmc,1024,True,2,0.706708
43,2,100,physical_rqmc,1024,True,3,0.702583
43,2,100,physical_rqmc,1024,True,4,0.7375
43,2,100,quotient_self_normalized,1024,True,0,0.718083
43,2,100,quotient_self_normalized,1024,True,1,0.719375
43,2,100,quotient_self_normalized,1024,True,2,0.743834
43,2,100,quotient_self_normalized,1024,True,3,0.738125
43,2,100,quotient_self_normalized,1024,True,4,0.752625
44,2,100,quotient_self_normalized,1024,True,0,0.76975
44,2,100,quotient_self_normalized,1024,True,1,0.745584
44,2,100,quotient_self_normalized,1024,True,2,0.732542
44,2,100,quotient_self_normalized,1024,True,3,0.732
44,2,100,quotient_self_normalized,1024,True,4,0.781042
44,2,100,physical_rqmc,1024,True,0,0.721
44,2,100,physical_rqmc,1024,True,1,0.717125
44,2,100,physical_rqmc,1024,True,2,0.712291
44,2,100,physical_rqmc,1024,True,3,0.7105
44,2,100,physical_rqmc,1024,True,4,0.71
45,2,100,quotient_self_normalized,1024,True,0,0.773708
45,2,100,quotient_self_normalized,1024,True,1,0.769584
45,2,100,quotient_self_normalized,1024,True,2,0.838542
45,2,100,quotient_self_normalized,1024,True,3,0.9265
45,2,100,quotient_self_normalized,1024,True,4,0.803125
45,2,100,physical_rqmc,1024,True,0,0.748792
45,2,100,physical_rqmc,1024,True,1,0.787125
45,2,100,physical_rqmc,1024,True,2,0.769208
45,2,100,physical_rqmc,1024,True,3,0.768833
45,2,100,physical_rqmc,1024,True,4,0.81875
46,2,100,physical_rqmc,1024,True,0,0.801542
46,2,100,physical_rqmc,1024,True,1,0.820292
46,2,100,physical_rqmc,1024,True,2,0.773209
46,2,100,physical_rqmc,1024,True,3,0.906666
46,2,100,physical_rqmc,1024,True,4,0.809875
46,2,100,quotient_self_normalized,1024,True,0,0.856959
46,2,100,quotient_self_normalized,1024,True,1,0.827125
46,2,100,quotient_self_normalized,1024,True,2,0.801667
46,2,100,quotient_self_normalized,1024,True,3,0.755041
46,2,100,quotient_self_normalized,1024,True,4,0.750875
47,2,100,physical_rqmc,1024,True,0,0.73075
47,2,100,physical_rqmc,1024,True,1,0.746791
47,2,100,physical_rqmc,1024,True,2,0.706167
47,2,100,physical_rqmc,1024,True,3,0.726208
47,2,100,physical_rqmc,1024,True,4,0.708125
47,2,100,quotient_self_normalized,1024,True,0,0.751458
47,2,100,quotient_self_normalized,1024,True,1,0.740958
47,2,100,quotient_self_normalized,1024,True,2,0.748625
47,2,100,quotient_self_normalized,1024,True,3,0.754125
47,2,100,quotient_self_normalized,1024,True,4,0.742917
48,2,100,physical_rqmc,1024,True,0,0.765458
48,2,100,physical_rqmc,1024,True,1,0.736583
48,2,100,physical_rqmc,1024,True,2,0.766416
48,2,100,physical_rqmc,1024,True,3,0.801042
48,2,100,physical_rqmc,1024,True,4,0.707125
48,2,100,quotient_self_normalized,1024,True,0,0.743792
48,2,100,quotient_self_normalized,1024,True,1,0.784542
48,2,100,quotient_self_normalized,1024,True,2,0.7375
48,2,100,quotient_self_normalized,1024,True,3,0.730125
48,2,100,quotient_self_normalized,1024,True,4,0.708917
49,2,100,physical_rqmc,4096,True,0,2.460708
49,2,100,physical_rqmc,4096,True,1,2.548417
49,2,100,physical_rqmc,4096,True,2,2.511416
49,2,100,physical_rqmc,4096,True,3,2.490083
49,2,100,physical_rqmc,4096,True,4,2.429416
49,2,100,quotient_self_normalized,1024,True,0,0.819833
49,2,100,quotient_self_normalized,1024,True,1,0.836875
49,2,100,quotient_self_normalized,1024,True,2,0.8735
49,2,100,quotient_self_normalized,1024,True,3,0.928917
49,2,100,quotient_self_normalized,1024,True,4,0.798042
50,2,100,quotient_self_normalized,1024,True,0,0.777208
50,2,100,quotient_self_normalized,1024,True,1,0.777708
50,2,100,quotient_self_normalized,1024,True,2,0.7535
50,2,100,quotient_self_normalized,1024,True,3,0.755291
50,2,100,quotient_self_normalized,1024,True,4,0.743833
50,2,100,physical_rqmc,4096,True,0,2.428417
50,2,100,physical_rqmc,4096,True,1,2.473583
50,2,100,physical_rqmc,4096,True,2,2.424542
50,2,100,physical_rqmc,4096,True,3,2.408791
50,2,100,physical_rqmc,4096,True,4,2.661417
51,2,100,quotient_self_normalized,1024,True,0,0.798625
51,2,100,quotient_self_normalized,1024,True,1,0.803125
51,2,100,quotient_self_normalized,1024,True,2,0.798958
51,2,100,quotient_self_normalized,1024,True,3,0.809375
51,2,100,quotient_self_normalized,1024,True,4,0.796875
51,2,100,physical_rqmc,16384,True,0,9.963167
